time_day,shoot_C,root_C,seed_C,litter_C,soil_water_mm,mineral_N,cumulative_net_C_gain,cumulative_litter_CO2_C,cumulative_rain_mm,cumulative_irrigation_mm,cumulative_ET_mm,cumulative_drainage_mm,cumulative_N_input,cumulative_N_leaching,temperature_C,rain_rate_mm_day,light_umol_m2_s,net_gain_gC_m2_day,carbon_residual,water_residual,nitrogen_residual
0.0,5.4399999999999995,2.56,0.0,0.0,80.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,450.0,0.0,0.0,0.0,0.0
0.9166666666666666,5.492736850161237,2.587647241208221,0.0,0.0266376510386624,79.50378659267041,3.9964822462129272,0.10707010772777141,4.8365319651899475e-05,0.0,0.0,0.4962134073295857,0.0,0.0018333333333333333,0.0,25.09467420569431,0.0,450.0,0.11719643288580886,4.0245584642661925e-16,-5.717648576819556e-15,-4.2392304944183223e-16
1.8333333333333333,5.545786841363532,2.6154619612652916,0.0,0.0534183880180687,79.00680694033062,3.992933307134322,0.21488621248627104,0.00021902183937945097,0.0,0.0,0.9931930596693754,0.0,0.003666666666666667,0.0,25.189324838134137,0.0,450.0,0.11800570913163082,9.992007221626409e-16,-4.884981308350689e-15,-8.482797797526587e-16
2.75,5.5991422889395785,2.643440651848492,0.0,0.08034311004706017,78.5090660595348,3.989353697458243,0.32343867754287037,0.0005126267077398588,0.0,0.0,1.490933940465186,0.0,0.0055000000000000005,0.0,25.28392832993459,0.0,450.0,0.11880426865077902,6.661338147750939e-16,-1.1324274851176597e-14,-3.8424124992886277e-16
3.6666666666666665,5.652795267954045,2.6715796872413695,0.0,0.10741267428057082,78.010569445976,3.985743951859534,0.43271747059232757,0.0009298411163428559,0.0,0.0,1.9894305540239792,0.0,0.007333333333333333,0.0,25.37846112544848,0.0,450.0,0.11959168358142924,4.440892098500626e-16,-1.7763568394002505e-14,8.066464163292153e-17
4.583333333333333,5.706737619731595,2.699875327294596,0.0,0.1346278949497435,77.51132308356847,3.9821046245678695,0.5427121720818111,0.0014713301058777678,0.0,0.0,2.488676916431508,0.0,0.009166666666666663,0.0,25.472899686631532,0.0,450.0,0.1203675354861008,6.661338147750939e-16,-2.1760371282653068e-14,-1.2281842209915794e-15
5.5,5.760960958821031,2.7283237205958546,0.0,0.16198954242926256,77.01133345328984,3.9784362889076923,0.6534119842139119,0.0021377623677643442,0.0,0.0,2.9886665467101463,0.0,0.010999999999999992,0.0,25.567220498903197,0.0,450.0,0.1211314160842357,2.220446049250313e-15,-1.7319479184152442e-14,-7.598088824778415e-16
6.416666666666666,5.815456680382852,2.7569209078429946,0.0,0.18949834234382873,76.51060754177162,3.974739536804849,0.7648057406112738,0.002929810041601385,0.0,0.0,3.4893924582283713,0.0,0.01283333333333332,0.0,25.66140007700163,0.0,450.0,0.12188292796576417,2.4424906541753444e-15,-8.881784197001252e-15,-1.177877240188252e-15
7.333333333333333,5.870215967985997,2.7856628254139553,0.0,0.21715497471562784,76.00915284962724,3.9710149782608877,0.8768819166241718,0.0038481485085958655,0.0,0.0,3.990847150372765,0.0,0.014666666666666649,0.0,25.755414970831374,0.0,450.0,0.12262168528316524,4.773959005888173e-15,6.661338147750939e-15,1.7867651802561113e-16
8.25,5.925229801798107,2.814545309126283,0.0,0.24496007315456306,75.50697739950722,3.9672632407960524,0.9896286402601135,0.004893456181163606,0.0,0.0,4.493022600492775,0.0,0.016499999999999983,0.0,25.84924177130226,0.0,450.0,0.12334731441958856,1.3322676295501878e-15,-3.552713678800501e-15,-2.463307335887066e-16
9.166666666666666,5.980488967152157,2.843564098178362,0.0,0.27291422409293226,75.00408974387216,3.9634849688621614,1.103033703712346,0.006066414288900477,0.0,0.0,4.995910256127825,0.0,0.018333333333333326,0.0,25.942857116158134,0.0,450.0,0.12405945463067077,6.217248937900877e-15,-1.7763568394002505e-14,2.0816681711721685e-16
10.083333333333332,6.035984063470936,2.8727148392638204,0.0,0.30101796606613734,74.50049897247435,3.9596808232266225,1.2170845754620176,0.007367706661130674,0.0,0.0,5.4995010275256355,0.0,0.02016666666666667,0.0,26.036237695793904,0.0,450.0,0.12475775865775976,5.10702591327572e-15,-1.7763568394002505e-14,-2.255140518769849e-16
11.0,6.091705513529586,2.901993090849963,0.0,0.3292717890409126,73.99621471954006,3.955851480328978,1.331768412926701,0.008798019506245687,0.0,0.0,6.003785280459916,0.0,0.022000000000000016,0.0,26.129360259059464,0.0,450.0,0.12544189331035338,7.327471962526033e-15,-2.042810365310288e-14,2.255140518769849e-16
11.916666666666666,6.1476435730350785,2.9313943276104433,0.0,0.357676133792449,73.49124717064518,3.951997631611436,1.4470720756260183,0.010358041188054163,0.0,0.0,6.508752829354795,0.0,0.02383333333333336,0.0,26.222201619049095,0.0,450.0,0.12611154001566188,6.661338147750939e-15,-2.398081733190338e-14,6.800116025829084e-16
12.833333333333332,6.203788340500363,2.9609139450018502,0.0,0.38623139133168594,72.98560706927738,3.9481199828249727,1.562982138833262,0.012048461999369075,0.0,0.0,7.014392930722601,0.0,0.025666666666666702,0.0,26.314738658874838,0.0,450.0,0.12676639533331868,6.217248937900877e-15,-2.042810365310288e-14,2.463307335887066e-16
13.75,6.260129767389831,2.9905472639733404,0.0,0.4149379023839167,72.47930572307921,3.9442192533126468,1.6794849076801452,0.013869973933064078,0.0,0.0,7.520694276920773,0.0,0.02750000000000005,0.0,26.40694833742246,0.0,450.0,0.12740617143338803,6.661338147750939e-15,-1.9539925233402755e-14,6.973588373426765e-16
